5,Female,How do you identify?
82,1 - 3 years,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,Less than 1 year,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
82,7 - 9 years,"Roll call voting record:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,4 - 6 years,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,10 or more years,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,Not available,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,1 - 3 years,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,Less than 1 year,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
83,7 - 9 years,"Draft legislation:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,4 - 6 years,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,10 or more years,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,Not available,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,1 - 3 years,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,Less than 1 year,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
84,7 - 9 years,"Reports request by or submitted to parliament:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
86,Other,Is a general description of committee powers and functions available to the public?
86,"Yes, online",Is a general description of committee powers and functions available to the public?
86,"Yes, offline",Is a general description of committee powers and functions available to the public?
86,No,Is a general description of committee powers and functions available to the public?
87,Other,"If committees have their own internal rules, is information on committee rules available to the public?"
87,"Yes, online","If committees have their own internal rules, is information on committee rules available to the public?"
87,"Yes, offline","If committees have their own internal rules, is information on committee rules available to the public?"
87,No,"If committees have their own internal rules, is information on committee rules available to the public?"
88,Yes,"In instances where committees meet in private, is the public typically informed why the meeting was held in private?"
88,Other,"In instances where committees meet in private, is the public typically informed why the meeting was held in private?"
88,No,"In instances where committees meet in private, is the public typically informed why the meeting was held in private?"
89,On demand archival streaming,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
89,In-person at the parliament,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
89,Live television,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
89,Committee meetings are not generally open to the public,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
89,Other,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
89,Live radio,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
89,Web streaming,What means does the parliament provide for a member of the public to observe or listen to public committee meetings?
90,Other,Is the committee schedule available to the public?
90,"Yes, online",Is the committee schedule available to the public?
90,"Yes, offline",Is the committee schedule available to the public?
90,No,Is the committee schedule available to the public?
91,1-3 days,"If available, how far in advance is the public notified of committee schedule?"
91,More than 2 weeks,"If available, how far in advance is the public notified of committee schedule?"
91,4-6 days,"If available, how far in advance is the public notified of committee schedule?"
91,1-2 weeks,"If available, how far in advance is the public notified of committee schedule?"
91,Other,"If available, how far in advance is the public notified of committee schedule?"
91,Less than 24 hours,"If available, how far in advance is the public notified of committee schedule?"
92,Other,Are committee meeting agendas available to the public?
92,"Yes, online",Are committee meeting agendas available to the public?
92,"Yes, offline",Are committee meeting agendas available to the public?
92,No,Are committee meeting agendas available to the public?
93,1-3 days,"If available, how far in advance is the public provided with committee meeting agendas?"
93,More than 2 weeks,"If available, how far in advance is the public provided with committee meeting agendas?"
93,4-6 days,"If available, how far in advance is the public provided with committee meeting agendas?"
93,1-2 weeks,"If available, how far in advance is the public provided with committee meeting agendas?"
93,Other,"If available, how far in advance is the public provided with committee meeting agendas?"
93,Less than 24 hours,"If available, how far in advance is the public provided with committee meeting agendas?"
94,Other,Are verbatim committee transcripts available to the public?
94,"Yes, online",Are verbatim committee transcripts available to the public?
94,"Yes, offline",Are verbatim committee transcripts available to the public?
94,No,Are verbatim committee transcripts available to the public?
95,Other,Is witness testimony at committee hearings available to the public?
95,"Yes, online",Is witness testimony at committee hearings available to the public?
95,"Yes, offline",Is witness testimony at committee hearings available to the public?
95,No,Is witness testimony at committee hearings available to the public?
96,Other,Are committee voting records available to the public?
96,"Yes, online",Are committee voting records available to the public?
96,"Yes, offline",Are committee voting records available to the public?
96,No,Are committee voting records available to the public?
97,Other,"With the exception of classified information, is evidence submitted to committees generally available to the public?"
97,"Yes, online","With the exception of classified information, is evidence submitted to committees generally available to the public?"
97,"Yes, offline","With the exception of classified information, is evidence submitted to committees generally available to the public?"
97,No,"With the exception of classified information, is evidence submitted to committees generally available to the public?"
98,Other,Are committee reports available to the public?
98,"Yes, online",Are committee reports available to the public?
98,"Yes, offline",Are committee reports available to the public?
98,No,Are committee reports available to the public?
99,Other,Are complete versions of committee resolutions available to the public?
99,"Yes, online",Are complete versions of committee resolutions available to the public?
99,"Yes, offline",Are complete versions of committee resolutions available to the public?
99,No,Are complete versions of committee resolutions available to the public?
100,Less than 24 hours,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
100,4 - 6 days,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
100,1 - 2 weeks,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
100,More than 2 weeks,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
100,1 - 3 days,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
100,Not available,"Committee schedule (after schedule is set) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,Less than 24 hours,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,4 - 6 days,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,1 - 2 weeks,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,More than 2 weeks,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,1 - 3 days,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
101,Not available,"Committee transcripts (after transcripts are recorded) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,Less than 24 hours,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,4 - 6 days,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,1 - 2 weeks,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,More than 2 weeks,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,1 - 3 days,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
102,Not available,"Witness testimony (after testimony is submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,Less than 24 hours,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,4 - 6 days,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,1 - 2 weeks,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,More than 2 weeks,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,1 - 3 days,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
103,Not available,"Committee voting record (after votes are recorded):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,Less than 24 hours,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,4 - 6 days,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,1 - 2 weeks,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,More than 2 weeks,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,1 - 3 days,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
104,Not available,"Evidence submitted to committee (after evidence is submitted) :On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,Less than 24 hours,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,4 - 6 days,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,1 - 2 weeks,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,More than 2 weeks,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,1 - 3 days,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
105,Not available,"Committee reports (after reports are submitted):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,Less than 24 hours,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,4 - 6 days,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,1 - 2 weeks,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,More than 2 weeks,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,1 - 3 days,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
106,Not available,"Committee resolutions (after resolution is introduced):On average, how soon after a given action has taken place is the public notified and provided with the information listed below?"
107,Bulk download,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
107,Official bulletin or publication,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
107,API,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
107,Not available,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
107,Other,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
107,Parliamentary website,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
107,Mobile device,Committee functions and rules:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Bulk download,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Official bulletin or publication,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
108,API,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Not available,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Other,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Parliamentary website,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
108,Mobile device,Committee schedule:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Bulk download,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Official bulletin or publication,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
109,API,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Not available,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Other,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Parliamentary website,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
109,Mobile device,Committee transcripts:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Bulk download,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Official bulletin or publication,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
110,API,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Not available,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Other,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Parliamentary website,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
110,Mobile device,Witness testimony:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Bulk download,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Official bulletin or publication,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
111,API,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Not available,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Other,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Parliamentary website,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
111,Mobile device,Committee voting records:Through which of the following means can information on parliamentary committees be accessed by the public?
112,Bulk download,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
112,Official bulletin or publication,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
112,API,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
112,Not available,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
112,Other,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
112,Parliamentary website,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
112,Mobile device,Evidence submitted to committee :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Bulk download,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Official bulletin or publication,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
113,API,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Not available,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Other,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Parliamentary website,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
113,Mobile device,Committee reports :Through which of the following means can information on parliamentary committees be accessed by the public?
114,Bulk download,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
114,Official bulletin or publication,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
114,API,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
114,Not available,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
114,Other,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
114,Parliamentary website,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
114,Mobile device,Committee resolutions:Through which of the following means can information on parliamentary committees be accessed by the public?
115,PDF,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,Word document (.doc),Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,Not available,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,Excel or CSV,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,XML,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,Printed copy,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,Other,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
115,HTML,Committee functions and rules:In which of the following formats can information on parliamentary committees be accessed by the public?
116,PDF,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,Word document (.doc),Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,Not available,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,Excel or CSV,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,XML,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,Printed copy,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,Other,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
116,HTML,Committee schedule:In which of the following formats can information on parliamentary committees be accessed by the public?
117,PDF,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,Word document (.doc),Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,Not available,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,Excel or CSV,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,XML,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,Printed copy,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,Other,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
117,HTML,Committee transcripts:In which of the following formats can information on parliamentary committees be accessed by the public?
118,PDF,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,Word document (.doc),Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,Not available,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,Excel or CSV,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,XML,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,Printed copy,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,Other,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
118,HTML,Witness testimony:In which of the following formats can information on parliamentary committees be accessed by the public?
119,PDF,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,Word document (.doc),Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,Not available,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,Excel or CSV,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,XML,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,Printed copy,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,Other,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
119,HTML,Committee voting records:In which of the following formats can information on parliamentary committees be accessed by the public?
120,PDF,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,Word document (.doc),Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,Not available,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,Excel or CSV,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,XML,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,Printed copy,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,Other,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
120,HTML,Evidence submitted to committee :In which of the following formats can information on parliamentary committees be accessed by the public?
121,PDF,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,Word document (.doc),Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,Not available,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,Excel or CSV,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,XML,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,Printed copy,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,Other,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
121,HTML,Committee reports:In which of the following formats can information on parliamentary committees be accessed by the public?
122,PDF,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,Word document (.doc),Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,Not available,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,Excel or CSV,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,XML,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,Printed copy,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,Other,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
122,HTML,Committee resolutions:In which of the following formats can information on parliamentary committees be accessed by the public?
123,4 - 6 years,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
123,10 or more years,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
123,Not available,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
123,1 - 3 years,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
123,Less than 1 year,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
123,7 - 9 years,"Committee functions and rules:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,4 - 6 years,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,10 or more years,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,Not available,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,1 - 3 years,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,Less than 1 year,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
124,7 - 9 years,"Committee schedule:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,4 - 6 years,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,10 or more years,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,Not available,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,1 - 3 years,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,Less than 1 year,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
125,7 - 9 years,"Committee transcripts:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,4 - 6 years,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,10 or more years,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,Not available,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,1 - 3 years,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,Less than 1 year,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
126,7 - 9 years,"Witness testimony:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,4 - 6 years,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,10 or more years,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,Not available,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,1 - 3 years,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,Less than 1 year,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
127,7 - 9 years,"Committee voting records:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,4 - 6 years,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,10 or more years,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,Not available,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,1 - 3 years,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,Less than 1 year,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
128,7 - 9 years,"Evidence submitted to committee:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,4 - 6 years,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,10 or more years,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,Not available,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,1 - 3 years,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,Less than 1 year,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
129,7 - 9 years,"Committee reports :If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,4 - 6 years,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,10 or more years,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,Not available,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,1 - 3 years,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,Less than 1 year,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
130,7 - 9 years,"Committee resolutions:If historical parliamentary information is publicly accessible, for how many past years are the types of information listed below generally available?"
132,Other,Is information on members' roles and committee memberships available to the public?
132,"Yes, online",Is information on members' roles and committee memberships available to the public?
132,"Yes, offline",Is information on members' roles and committee memberships available to the public?
132,No,Is information on members' roles and committee memberships available to the public?
133,Other,"In countries with either single- or multi-member districts, is basic social and economic information on all districts available to the public?"
133,"Yes, online","In countries with either single- or multi-member districts, is basic social and economic information on all districts available to the public?"
133,"Yes, offline","In countries with either single- or multi-member districts, is basic social and economic information on all districts available to the public?"
133,No,"In countries with either single- or multi-member districts, is basic social and economic information on all districts available to the public?"
134,Other,Is information on any party affiliation of members of parliament available to the public?
134,"Yes, online",Is information on any party affiliation of members of parliament available to the public?
134,"Yes, offline",Is information on any party affiliation of members of parliament available to the public?
134,No,Is information on any party affiliation of members of parliament available to the public?
135,Other,"Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
135,"Yes, online","Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
135,"Yes, offline","Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
135,No,"Is contact information for members of parliament, including for any district and capital offices they maintain, available to the public?"
136,Other,Is an individual member of parliament's attendance record for plenary sessions available to the public?
136,"Yes, online",Is an individual member of parliament's attendance record for plenary sessions available to the public?
136,"Yes, offline",Is an individual member of parliament's attendance record for plenary sessions available to the public?
136,No,Is an individual member of parliament's attendance record for plenary sessions available to the public?
137,Other,Is an individual member of parliament's attendance record for committee meetings available to the public?
137,"Yes, online",Is an individual member of parliament's attendance record for committee meetings available to the public?
137,"Yes, offline",Is an individual member of parliament's attendance record for committee meetings available to the public?
137,No,Is an individual member of parliament's attendance record for committee meetings available to the public?
138,Other,Is information on an individual member of parliament's expenses available to the public?
138,"Yes, online",Is information on an individual member of parliament's expenses available to the public?
138,"Yes, offline",Is information on an individual member of parliament's expenses available to the public?
138,No,Is information on an individual member of parliament's expenses available to the public?
139,Yes,Is there a constituency development fund that provides members of parliament with a role in allocating funds for development projects in their district?
139,Other,Is there a constituency development fund that provides members of parliament with a role in allocating funds for development projects in their district?
139,No,Is there a constituency development fund that provides members of parliament with a role in allocating funds for development projects in their district?
140,Other,"Is information on the use of constituency development funds, including the total amount allocated for the fund and how the money has been spent for each constituency, available to the public?"
140,"Yes, online","Is information on the use of constituency development funds, including the total amount allocated for the fund and how the money has been spent for each constituency, available to the public?"
140,"Yes, offline","Is information on the use of constituency development funds, including the total amount allocated for the fund and how the money has been spent for each constituency, available to the public?"
140,No,"Is information on the use of constituency development funds, including the total amount allocated for the fund and how the money has been spent for each constituency, available to the public?"
141,Other,Is there a publicly available registry that lists active lobbyists or pressure groups and that provides basic information on their activities?
